scenario_id,hour,wind_mw,da_price,si
0_2_3,21,278.198,46.4,1
0_2_3,22,281.366,43.21,1
0_2_3,23,266.8,31.44,1
0_3_0,0,140.521,25.64,0
0_3_0,1,172.419,25.97,0
0_3_0,2,209.245,24.99,0
0_3_0,3,244.173,26.04,0
0_3_0,4,260.713,27.94,0
0_3_0,5,250.639,38.92,1
0_3_0,6,229.697,45.52,1
0_3_0,7,226.954,47.97,0
0_3_0,8,245.55,47.43,0
0_3_0,9,286.88,47.98,0
0_3_0,10,337.019,48.43,0
0_3_0,11,360.497,46.96,0
0_3_0,12,366.494,48.34,1
0_3_0,13,365.482,49.91,0
0_3_0,14,360.242,50.0,1
0_3_0,15,339.446,51.27,1
0_3_0,16,312.169,60.71,0
0_3_0,17,303.245,62.89,1
0_3_0,18,302.631,52.3,1
0_3_0,19,285.553,47.56,0
0_3_0,20,285.996,43.3,0
0_3_0,21,278.198,41.21,1
0_3_0,22,281.366,39.57,1
0_3_0,23,266.8,40.4,1
0_3_1,0,140.521,25.64,1
0_3_1,1,172.419,25.97,1
0_3_1,2,209.245,24.99,1
0_3_1,3,244.173,26.04,1
0_3_1,4,260.713,27.94,1
0_3_1,5,250.639,38.92,1
0_3_1,6,229.697,45.52,0
0_3_1,7,226.954,47.97,1
0_3_1,8,245.55,47.43,1
0_3_1,9,286.88,47.98,0
0_3_1,10,337.019,48.43,1
0_3_1,11,360.497,46.96,0
0_3_1,12,366.494,48.34,1
0_3_1,13,365.482,49.91,1
0_3_1,14,360.242,50.0,1
0_3_1,15,339.446,51.27,0
0_3_1,16,312.169,60.71,1
0_3_1,17,303.245,62.89,1
0_3_1,18,302.631,52.3,0
0_3_1,19,285.553,47.56,0
0_3_1,20,285.996,43.3,1
0_3_1,21,278.198,41.21,0
0_3_1,22,281.366,39.57,0
0_3_1,23,266.8,40.4,1
0_3_2,0,140.521,25.64,0
0_3_2,1,172.419,25.97,1
0_3_2,2,209.245,24.99,0
0_3_2,3,244.173,26.04,1
0_3_2,4,260.713,27.94,0
0_3_2,5,250.639,38.92,1
0_3_2,6,229.697,45.52,0
0_3_2,7,226.954,47.97,1
0_3_2,8,245.55,47.43,0
0_3_2,9,286.88,47.98,1
0_3_2,10,337.019,48.43,1
0_3_2,11,360.497,46.96,1
0_3_2,12,366.494,48.34,1
0_3_2,13,365.482,49.91,0
0_3_2,14,360.242,50.0,1
0_3_2,15,339.446,51.27,0
0_3_2,16,312.169,60.71,0
0_3_2,17,303.245,62.89,0
0_3_2,18,302.631,52.3,1
0_3_2,19,285.553,47.56,1
0_3_2,20,285.996,43.3,0
0_3_2,21,278.198,41.21,1
0_3_2,22,281.366,39.57,0
0_3_2,23,266.8,40.4,0
0_3_3,0,140.521,25.64,0
0_3_3,1,172.419,25.97,0
0_3_3,2,209.245,24.99,0
0_3_3,3,244.173,26.04,1
0_3_3,4,260.713,27.94,1
0_3_3,5,250.639,38.92,0
0_3_3,6,229.697,45.52,0
0_3_3,7,226.954,47.97,0
0_3_3,8,245.55,47.43,1
0_3_3,9,286.88,47.98,0
0_3_3,10,337.019,48.43,1
0_3_3,11,360.497,46.96,1
0_3_3,12,366.494,48.34,1
0_3_3,13,365.482,49.91,1
0_3_3,14,360.242,50.0,0
0_3_3,15,339.446,51.27,1
0_3_3,16,312.169,60.71,1
0_3_3,17,303.245,62.89,1
0_3_3,18,302.631,52.3,0
0_3_3,19,285.553,47.56,0
0_3_3,20,285.996,43.3,0
0_3_3,21,278.198,41.21,1
0_3_3,22,281.366,39.57,1
0_3_3,23,266.8,40.4,1
0_4_0,0,140.521,39.42,0
0_4_0,1,172.419,38.58,0
0_4_0,2,209.245,37.99,0
