beta,hour,grad_E,grad_CVaR,same_sign,p_DA
0.5,7,5.67825620400731,6.97105520963002,True,55.35463636363633
0.5,8,5.60542409713536,7.135684893769016,True,55.44354545454544
0.5,9,5.418712141967246,7.028267085549849,True,59.26168181818184
0.5,10,3.7201195479072116,6.832616815728363,True,63.219727272727255
0.5,11,4.147364655269694,-0.5168642873315676,False,192.726
0.5,12,4.944452383108455,6.646739744895522,True,66.7573636363636
0.5,13,3.8062890826066003,-0.5560639080719567,False,220.72419047619047
0.5,14,0.0,0.0,True,500.0
0.5,15,2.5501742707269774,1.489028585984178,True,48.83023076923075
0.5,16,5.114125076417698,-0.5710436148533424,False,249.74271428571427
0.5,17,5.575531696478801,-0.4646462602362063,False,228.6970357142857
0.5,18,4.091038075021414,1.5886742707269552,True,78.09285714285716
0.5,19,0.0,0.0,True,500.0
0.5,20,3.396778524661092,7.435874382051541,True,80.75450000000004
0.5,21,4.676242216687116,7.233140609079013,True,81.40218181818182
0.5,22,2.9002163525036915,6.408614211856563,True,84.22149999999996
0.5,23,3.2007147816896593,-0.7495525868900011,False,96.37953333333334
0.5,24,2.786195545114718,0.9110835314539135,True,232.24721428571428
0.75,1,3.2642330955882315,-0.14357766330806257,False,137.18454545454546
0.75,2,2.9156464281669154,4.658072936714332,True,68.50372727272725
0.75,3,2.2750097994262517,1.2032587739158058,True,60.00742857142859
0.75,4,1.229852900109362,1.0833555983242795,True,51.126571428571424
0.75,5,2.74831731008699,1.6078311445712647,True,43.17485714285715
0.75,6,3.5727342211024244,-0.3735215857201876,False,71.2510062454212
0.75,7,5.67825620400731,6.956034303180733,True,55.35463636363633
0.75,8,5.60542409713536,7.12650943431773,True,55.44354545454544
0.75,9,5.418712141967246,7.009276123626774,True,59.26168181818184
0.75,10,3.1863696403635653,2.2343395599831,True,29.60235714285716
0.75,11,5.246529604890344,1.2551623929202809,True,75.65823076923076
0.75,12,4.944452383108455,6.570895014905729,True,66.7573636363636
0.75,13,6.040591587417983,6.31351760443744,True,67.98600000000005
0.75,14,0.0,0.0,True,500.0
0.75,15,3.005167402543282,2.064252613305895,True,43.62078571428575
0.75,16,6.6188893618622435,7.183097824445613,True,75.18781818181819
0.75,17,7.216058833351697,7.978751981206139,True,74.58809090909094
0.75,18,5.682934176761011,8.431797313105418,True,73.76745454545454
0.75,19,0.0,0.0,True,500.0
0.75,20,3.396778524661092,7.383758434279939,True,80.75450000000004
0.75,21,4.676242216687116,7.160370485678145,True,81.40218181818182
0.75,22,2.9002163525036915,6.390734612626408,True,84.22149999999996
0.75,23,4.2170001320802,5.816934620173952,True,91.2101363636364
0.75,24,2.786195545114718,0.6710948903731346,True,232.24721428571428
1.0,1,4.2583014528847345,1.7186893090302882,True,83.52285714285713
1.0,2,2.9156464281669154,4.594897345182591,True,68.50372727272725
1.0,3,2.2750097994262517,1.7047127910485085,True,60.00742857142859
1.0,4,1.229852900109362,1.5994282803122593,True,51.126571428571424
1.0,5,2.74831731008699,2.1589209970185057,True,43.17485714285715
1.0,6,6.7962318455408735,6.589283331446001,True,59.32286363636359
1.0,7,5.67825620400731,6.875033888070749,True,55.35463636363633
1.0,8,5.60542409713536,6.895214574134352,True,55.44354545454544
1.0,9,5.418712141967246,6.772812672175802,True,59.26168181818184
1.0,10,3.1863696403635653,2.8351816861010457,True,29.60235714285716
1.0,11,6.587907449337255,7.001023632966733,True,64.77213636363632
1.0,12,4.944452383108455,6.346276161364111,True,66.7573636363636
1.0,13,6.040591587417983,6.093018812030203,True,67.98600000000005
1.0,14,0.0,0.0,True,500.0
1.0,15,3.005167402543282,2.6425536812707016,True,43.62078571428575
1.0,16,6.6188893618622435,7.1052439431670935,True,75.18781818181819
1.0,17,7.216058833351697,7.900370910222348,True,74.58809090909094
1.0,18,5.682934176761011,8.353324917920713,True,73.76745454545454
1.0,19,0.0,0.0,True,500.0
1.0,20,3.396778524661092,7.420652166118887,True,80.75450000000004
1.0,21,4.676242216687116,7.107082814445281,True,81.40218181818182
1.0,22,2.9002163525036915,6.454991433638525,True,84.22149999999996
1.0,23,4.2170001320802,5.887060417373847,True,91.2101363636364
1.0,24,5.196962102343164,5.539068191252132,True,100.24213636363636
