beta,hour,grad_E,grad_CVaR,same_sign,p_DA
0.25,17,2.3574504132229706,0.48275432091770515,True,500.0
0.25,18,-2.4620426997243388,-0.34744326200982745,True,0.0
0.25,19,7.053979338842476,2.0876166081736423,True,500.0
0.25,20,-6.5111115702474756,-2.1929726027395056,True,0.0
0.25,21,-2.025909090908949,-0.33260675874556106,True,0.0
0.25,22,-5.559276859503746,-1.8165761632512767,True,0.0
0.25,23,-1.705490358126609,-0.5172637741046546,True,0.0
0.25,24,1.6264876033056759,0.18557734254121383,True,500.0
0.5,1,1.5656308539943877,0.28712481603075046,True,500.0
0.5,2,-4.578892561983164,-0.744473432959653,True,0.0
0.5,3,-4.585615702479031,-0.6472334427713633,True,0.0
0.5,4,-8.016005509641348,-1.4189727442543612,True,0.0
0.5,5,-5.539636363635992,-1.3179483565416494,True,0.0
0.5,6,2.133411845729879,0.36505353032184995,True,500.0
0.5,7,-2.3066928374653934,-0.6293689007131937,True,0.0
0.5,8,-2.277106060605899,-0.1409370919657118,True,0.0
0.5,9,-2.2012575757574155,-0.29388536359857675,True,0.0
0.5,10,-6.422595041321845,-1.51877795388487,True,0.0
0.5,11,2.0680165289254684,0.33096932903124315,True,500.0
0.5,12,-2.008597796143109,-0.2848098230121408,True,0.0
0.5,13,1.9734311294764388,0.7571522227253299,True,500.0
0.5,14,5.918752066115253,1.2649627250083642,True,500.0
0.5,15,-6.057355371900362,-1.679446535718181,True,0.0
0.5,16,2.1623581267216117,0.3769220347937184,True,500.0
0.5,17,2.3574504132229706,0.48275432091770515,True,500.0
0.5,18,-2.4620426997243388,-0.34744326200982745,True,0.0
0.5,19,7.053979338842476,2.0876166081736423,True,500.0
0.5,20,-6.5111115702474756,-2.1929726027395056,True,0.0
0.5,21,-2.025909090908949,-0.33260675874556106,True,0.0
0.5,22,-5.559276859503746,-1.8165761632512767,True,0.0
0.5,23,-1.705490358126609,-0.5172637741046546,True,0.0
0.5,24,1.6264876033056759,0.18557734254121383,True,500.0
0.75,1,1.5656308539943877,0.28712481603075046,True,500.0
0.75,2,-4.578892561983164,-0.744473432959653,True,0.0
0.75,3,-4.585615702479031,-0.6472334427713633,True,0.0
0.75,4,-8.016005509641348,-1.4189727442543612,True,0.0
0.75,5,-5.539636363635992,-1.3179483565416494,True,0.0
0.75,6,2.133411845729879,0.36505353032184995,True,500.0
0.75,7,-2.3066928374653934,-0.6293689007131937,True,0.0
0.75,8,-2.277106060605899,-0.1409370919657118,True,0.0
0.75,9,-2.2012575757574155,-0.29388536359857675,True,0.0
0.75,10,-6.422595041321845,-1.51877795388487,True,0.0
0.75,11,2.0680165289254684,0.33096932903124315,True,500.0
0.75,12,-2.008597796143109,-0.2848098230121408,True,0.0
0.75,13,1.9734311294764388,0.7571522227253299,True,500.0
0.75,14,5.918752066115253,1.2649627250083642,True,500.0
0.75,15,-6.057355371900362,-1.679446535718181,True,0.0
0.75,16,2.1623581267216117,0.3769220347937184,True,500.0
0.75,17,2.3574504132229706,0.48275432091770515,True,500.0
0.75,18,-2.4620426997243388,-0.34744326200982745,True,0.0
0.75,19,7.053979338842476,2.0876166081736423,True,500.0
0.75,20,-6.5111115702474756,-2.1929726027395056,True,0.0
0.75,21,-2.025909090908949,-0.33260675874556106,True,0.0
0.75,22,-5.559276859503746,-1.8165761632512767,True,0.0
0.75,23,-1.705490358126609,-0.5172637741046546,True,0.0
0.75,24,1.6264876033056759,0.18557734254121383,True,500.0
1.0,1,1.5656308539943877,0.28712481603075046,True,500.0
1.0,2,-4.578892561983164,-0.744473432959653,True,0.0
1.0,3,-4.585615702479031,-0.6472334427713633,True,0.0
1.0,4,-8.016005509641348,-1.4189727442543612,True,0.0
1.0,5,-5.539636363635992,-1.3179483565416494,True,0.0
1.0,6,2.133411845729879,0.36505353032184995,True,500.0
1.0,7,-2.3066928374653934,-0.6293689007131937,True,0.0
1.0,8,-2.277106060605899,-0.1409370919657118,True,0.0
1.0,9,-2.2012575757574155,-0.29388536359857675,True,0.0
1.0,10,-6.422595041321845,-1.51877795388487,True,0.0
1.0,11,2.0680165289254684,0.33096932903124315,True,500.0
1.0,12,-2.008597796143109,-0.2848098230121408,True,0.0
1.0,13,1.9734311294764388,0.7571522227253299,True,500.0
1.0,14,5.918752066115253,1.2649627250083642,True,500.0
1.0,15,-6.057355371900362,-1.679446535718181,True,0.0
1.0,16,2.1623581267216117,0.3769220347937184,True,500.0
1.0,17,2.3574504132229706,0.48275432091770515,True,500.0
1.0,18,-2.4620426997243388,-0.34744326200982745,True,0.0
1.0,19,7.053979338842476,2.0876166081736423,True,500.0
1.0,20,-6.5111115702474756,-2.1929726027395056,True,0.0
1.0,21,-2.025909090908949,-0.33260675874556106,True,0.0
1.0,22,-5.559276859503746,-1.8165761632512767,True,0.0
1.0,23,-1.705490358126609,-0.5172637741046546,True,0.0
1.0,24,1.6264876033056759,0.18557734254121383,True,500.0
